1,4,24,2,0,5
1,8,23,2,0,7
1,16,34,2,0,16
1,32,72,5,0,55
1,64,221,15,0,199
1,128,818,55,0,792
1,256,3412,227,0,3391
1,512,13042,869,0,13019
1,1024,51394,3426,0,51364
1,2048,205598,13707,0,205559
2,4,12632,842,0,4388
2,8,12625,842,0,4377
2,16,12587,839,0,4354
2,32,12795,853,0,4388
2,64,20822,1388,0,4451
2,128,21293,1420,0,4679
2,256,22187,1479,0,5768
2,512,28333,1889,0,10835
2,1024,47062,3137,0,30285
2,2048,124493,8300,0,107454
4,8,12580,839,0,8220
4,16,12564,838,0,8164
4,32,12612,841,0,8245
4,64,16602,1107,0,8416
4,128,17445,1163,0,8739
4,256,19028,1269,0,10130
4,512,20741,1383,0,11693
4,1024,31017,2068,0,22016
4,2048,68654,4577,0,59882
8,16,12545,836,0,8145
8,32,12526,835,0,8163
8,64,17179,1145,0,8405
8,128,17370,1158,0,8746
8,256,18313,1221,0,9536
8,512,19601,1307,0,10606
8,1024,23926,1595,0,15132
8,2048,42899,2860,0,34138
16,32,12595,840,0,8139
16,64,17650,1177,0,8813
16,128,17285,1152,0,8523
16,256,18214,1214,0,9347
16,512,19090,1273,0,10313
16,1024,21432,1429,0,11773
16,2048,30623,2042,0,21772
32,64,17128,1142,0,290
32,128,17067,1138,0,297
32,256,18326,1222,0,398
32,512,18654,1244,0,730
32,1024,19314,1288,0,1894
32,2048,24114,1608,0,7286
